variable;value
ACRE;63
ALAGOAS;770
AMAPÁ;48
AMAZONAS;668
BAHIA;1912
CEARÁ;1068
DISTRITO FEDERAL;1069
ESPÍRITO SANTO;1088
GOIÁS;1377
MARANHÃO;872
MATO GROSSO;841
MATO GROSSO DO SUL;1123
MINAS GERAIS;7403
PARÁ;1552
PARAÍBA;458
PARANÁ;4009
PERNAMBUCO;1436
PIAUÍ;735
RIO DE JANEIRO;3842
RIO GRANDE DO NORTE;647
RIO GRANDE DO SUL;3771
RONDÔNIA;953
RORAIMA;19
SANTA CATARINA;4877
SÃO PAULO;8037
SERGIPE;561
TOCANTINS;292
