variable;value
ACRE;46
ALAGOAS;574
AMAPÁ;27
AMAZONAS;465
BAHIA;1351
CEARÁ;713
DISTRITO FEDERAL;581
ESPÍRITO SANTO;805
GOIÁS;1062
MARANHÃO;671
MATO GROSSO;626
MATO GROSSO DO SUL;813
MINAS GERAIS;5462
PARÁ;1173
PARAÍBA;308
PARANÁ;3138
PERNAMBUCO;1062
PIAUÍ;558
RIO DE JANEIRO;3012
RIO GRANDE DO NORTE;438
RIO GRANDE DO SUL;2749
RONDÔNIA;673
RORAIMA;16
SANTA CATARINA;3548
SÃO PAULO;5679
SERGIPE;413
TOCANTINS;237
